epoch,loss,val_pr_auc,val_f1
1,0.024431927962047337,0.898130373798758,0.6616978087753084
2,0.023029259359326686,0.9041206059792036,0.6813791304064227
3,0.02271243178760935,0.9080611822813017,0.6857392205525404
4,0.022487771919870798,0.9141376134326377,0.6766128518997815
5,0.022302923221305934,0.9146911280549874,0.6906672505336909
6,0.022179743700872303,0.9171743658534246,0.6880663342727076
7,0.02208126419578242,0.9180663472362242,0.6935128906655308
8,0.0219542794533975,0.9214030708390979,0.6763057351582836
9,0.021865112215258553,0.9230002045057082,0.7006955437762346
10,0.02179671364361118,0.9233106226374791,0.6827782355599267
11,0.02171969716231116,0.9231672755173328,0.6936676135283543
12,0.021606447367453645,0.9250539529115416,0.7009890750662867
13,0.021573936970558313,0.9255180209154791,0.6916975601344943
14,0.02150012823618443,0.9265461024179439,0.7098702099627169
15,0.021479813648514163,0.9277674602065669,0.6968969077767513
16,0.021381725686269875,0.9273637131803003,0.6974777998385443
17,0.021322686079570854,0.9286909410994175,0.7023704135439635
18,0.02126462918027664,0.9283537639104754,0.7068171708185054
19,0.0212051272694472,0.9298134057653001,0.7041610619859313
20,0.021171203789721548,0.930713628194036,0.6992240786616175
21,0.021112522651554035,0.931120795429874,0.7000136474056282
22,0.02104002814245435,0.9307909121541368,0.7106496462764177
23,0.021021952250955905,0.9295489077859462,0.7038962183115653
24,0.0209637970298221,0.9319718701976218,0.6964327235563534
25,0.02092558262281801,0.9312419696193049,0.7047233037243446
26,0.020898211785869612,0.9304625755741541,0.7119411685574638
27,0.020828136965456615,0.9327762830079745,0.713129798330237
28,0.020760778153650353,0.9330259331632907,0.713022935548701
29,0.02078929698440881,0.9331571497656299,0.7070579990840217
30,0.020695523919323378,0.9332005193724995,0.7114117180916665
31,0.02064614777884564,0.9335392465046611,0.7239258192129153
32,0.02058548142084066,0.9341690352470955,0.6968373721870339
33,0.02056945400219136,0.9327989855861991,0.715255456404954
34,0.020517030544029577,0.9334114010803253,0.7232304070578017
35,0.020478855513563727,0.9339486191564389,0.7044533524898962
36,0.02044210470608466,0.934553712818871,0.7130037836088262
37,0.02038821952752659,0.9344656533399368,0.716291613990729
38,0.020380322335172542,0.9342263846220091,0.7056008449123733
39,0.020317973384968827,0.9348094430861768,0.7199714741739396
40,0.020271192302042756,0.932936003271572,0.71208656023709
41,0.020252005056997317,0.9348671099305266,0.7192046913259103
42,0.02020531142773354,0.9347926645052708,0.7111323416687959
43,0.020148683930019187,0.9346508686226799,0.7213025348528058
44,0.020081749732625345,0.9347621860344691,0.7195326488520206
45,0.020063720080331186,0.9345106011858891,0.7258681940530645
46,0.020021268358910153,0.9345675993233553,0.7237468360216436
47,0.01999568246898398,0.9352468880562269,0.7180299766547497
48,0.019942635098873337,0.9344388849583133,0.7236238859485352
49,0.019875968792709277,0.9353735300226799,0.7102757031401838
50,0.019836996058359257,0.9351494029519635,0.7240357438547407
51,0.019798412245964757,0.9352222782148408,0.7117687964173458
52,0.019785119706880204,0.9348900767389352,0.7232348579901905
53,0.01971810778388671,0.9342293317967606,0.7230858786467608
54,0.019661545910073065,0.9354242644071731,0.7301998669481966
55,0.019626034940194593,0.9348386629249512,0.7253991191852464
56,0.019592153765590845,0.9352229631502164,0.7267411134854438
57,0.019544192974436422,0.9351794455285207,0.7142266566854002
58,0.019510136038108913,0.9351114607869282,0.7274485314854358
59,0.019447564067742115,0.935257381714368,0.7335189802623914
60,0.019402854647322568,0.9350515693625076,0.7194985930484705
61,0.0193507756548865,0.9349210147077752,0.7301671899801875
62,0.019306058451467382,0.9349542280691103,0.7295136035921352
63,0.019265666082061848,0.9351046993237497,0.7248049368298729
64,0.019222017644099604,0.934378313991641,0.7276943845115437
65,0.019173608971951986,0.9351509061867634,0.7321805587060076
66,0.019144027614773726,0.9349680598323183,0.7231383480034043
67,0.01909666720799728,0.9349687714770065,0.7298719970318153
68,0.01903825207918355,0.9350281251391893,0.7305487210435913
69,0.0190156884848588,0.9351376047669553,0.7302126574059044
