model,pr_auc,f1,precision,recall
xgboost,0.9761135925860313,0.9212710073832036,0.9822948978746514,0.8673857120215226
tgn,0.9773143472375193,0.9240706204960589,0.9893326902027716,0.8668858481633052
ensemble_best,0.9790594187616992,0.9233455137771867,0.988580810938674,0.866186851548562
