epoch,loss,val_pr_auc,val_f1,val_precision,val_recall
1,0.24847857143639693,0.9711675434337854,0.9140057912956391,0.9843511862054088,0.8530440896178683
2,0.2104089132745373,0.9718650460910088,0.9156619688884633,0.9856447449177993,0.8549582024407987
3,0.20548780277938578,0.9732049649972405,0.9170116069968939,0.9889190815578164,0.8548525401618259
4,0.2027437505425054,0.9737886819574907,0.9178549874613546,0.9893149346684577,0.8560229530981399
5,0.2006543871646934,0.9746401428187397,0.9193807028393495,0.9863486949315107,0.8609281212027619
6,0.19896169651338386,0.9745701930590716,0.9193737547249604,0.9915689787320082,0.8569779775427018
7,0.19741682476238395,0.9746900121779207,0.9198845857577432,0.9900559732078035,0.8590018165784116
8,0.19636232552850122,0.9747680984534338,0.9188136667472541,0.9899794426035614,0.8571933660344541
9,0.19555253476213832,0.9750570685686848,0.920000523185853,0.9922599818490462,0.8575509922094389
10,0.19511392114484186,0.9751101106738285,0.9205251043203189,0.9905466463771508,0.8597495803988344
11,0.19466381450425382,0.9751657165114206,0.9200086126836992,0.9896312932809284,0.8595382558408888
12,0.1940907953004111,0.9754334383728922,0.9206935369032092,0.9916558006022458,0.8592090772025506
13,0.19369428241335396,0.9756906846473475,0.9209357945774357,0.990274147468239,0.8606720933729431
14,0.1934352427411657,0.9754502783394001,0.9210558768360042,0.9848065659322865,0.8650570779503144
15,0.19290967414535864,0.9755504851297578,0.9199604441753176,0.9912923471231886,0.8582052855523089
16,0.1926989864725555,0.975474042059833,0.9212900256997986,0.9887437860201177,0.8624520963802541
17,0.192581508398881,0.9756132131592914,0.9208833465494954,0.9893151222062475,0.8613060670467799
18,0.1921367066748002,0.975642234318223,0.9216138203442065,0.9889288924700633,0.862878809429952
19,0.19208023498627555,0.9753279546639718,0.921596302150069,0.9877540966845437,0.8637444273307676
20,0.19100384450288793,0.9760075821200355,0.9217258744356641,0.9897215874644406,0.8624724160492874
21,0.19067980122194983,0.9760817746772839,0.9224415526888912,0.9903765456274828,0.8632283077373236
22,0.19049938430423144,0.9763110082821607,0.9224641114013395,0.9913127548375344,0.8625577586592269
23,0.19039621614048638,0.9758801146708231,0.9217114434785635,0.9914331967136414,0.8611516375621274
24,0.19036390779340143,0.976273617414317,0.9223344104267848,0.9880897102526003,0.864784794385269
25,0.1900233519634161,0.9763992640247493,0.9225728566403655,0.9904706403412668,0.8633868011557828
26,0.19004968370739564,0.9761342442064967,0.9217742251138356,0.9913145968092719,0.861350770318653
27,0.19005511969224803,0.9764705219358856,0.92256889338541,0.9903652533840475,0.8634599519643024
28,0.18971228903758897,0.9763984482603877,0.922200339175166,0.9901521015378015,0.8629763438413115
29,0.18966821294961092,0.9762284566319721,0.9224302470849528,0.9891017679974324,0.8641792682480788
30,0.18948828988421748,0.9763611950847099,0.9230079079050878,0.9887867391001532,0.8654350237943325
31,0.18962982173196996,0.9763174596707943,0.9219925997104235,0.9912815838066522,0.8617571636993177
32,0.1894298887273432,0.9761688707442346,0.9223963742390204,0.991022199397745,0.8626593570043931
33,0.1893697484141815,0.9763919293390155,0.9225751781679123,0.9912687406909367,0.8627853389523992
34,0.1887544535848096,0.9766527539474545,0.9229694307983405,0.9901717499499508,0.8643093141298914
35,0.18861329560667586,0.9764382475318576,0.9229897706036712,0.9905014348004323,0.8640939256381392
36,0.18854442151153789,0.9764680828906069,0.922983187264472,0.9893460263746275,0.8649636074727615
37,0.1885669798071409,0.9766641728504275,0.9232082724786665,0.9888912099900192,0.8657073073593777
38,0.18837848826469433,0.9766636494682688,0.9222063894357847,0.9922986170282493,0.861362962120073
39,0.18844869583329527,0.9766259019619195,0.9227193618249445,0.9900068452644274,0.8639963912267797
40,0.1882915918596063,0.9766150994752274,0.9229079145905928,0.9907242539783162,0.8637810027350274
41,0.1884068784829242,0.976628950391223,0.9227961021927875,0.9889321525151242,0.8649514156713416
42,0.18817874381905195,0.9765526213591466,0.922458656557959,0.9902715754733692,0.863338033950103
43,0.18825176811960742,0.976394155330101,0.9228073147056333,0.9908828055775778,0.8634843355671423
44,0.1878788512986424,0.9768351124312631,0.9232852338070956,0.9905253209052858,0.8645937894963567
45,0.18789101415233217,0.9766990672689505,0.9228785467901698,0.9905496840574848,0.8638622814111604
46,0.18780701584263243,0.9767600068387862,0.9230502057899033,0.9907314640931607,0.8640248387634262
47,0.18775514118811665,0.9767758095961375,0.9230742514294149,0.9907227495328758,0.864073605969106
48,0.1877038282919095,0.9767529243908186,0.9233306067897444,0.9904484392600799,0.8647319632457826
49,0.18768495006751024,0.9767650647120493,0.9230575734576602,0.9895435715514476,0.8649432878037282
50,0.187727387027757,0.9768037757625541,0.9232203687521278,0.9896518060527172,0.8651464844940605
51,0.18760484240459324,0.9767385346739482,0.9232070585479484,0.9899298110153448,0.8649107763332751
52,0.18740531245317427,0.976837310772075,0.9231734317343173,0.9907749507298504,0.8642077157847253
53,0.18747909248493946,0.9768507051384173,0.9232781962717395,0.9903651469664176,0.8647035157091362
54,0.187442346943291,0.9767857146080626,0.9231964479089582,0.9905556693925451,0.8644149764088642
55,0.1874623202225741,0.97673823825396,0.9231370149273164,0.9904081651658083,0.8644231042764775
56,0.18732555262151473,0.9768042355565175,0.9232838903981183,0.9904795601510235,0.8646263009668098
57,0.18748204116177805,0.9768709393935057,0.9233649888587304,0.9904902435391375,0.8647604107824292
58,0.1873660738802286,0.9768790129925895,0.9234706492177028,0.9901632939710061,0.8651952516997403
59,0.18739929253873527,0.9769646387082498,0.9235753879785213,0.9902018684808943,0.8653496811843928
60,0.18738352546023662,0.9766748026894937,0.9230475446477009,0.9903195615632115,0.8643336977327313
61,0.18744416204909553,0.9769703945907829,0.9237609996594633,0.990575429129646,0.8653903205224593
62,0.18741829471604635,0.9768430709894668,0.9233258504950602,0.990064561742981,0.8650164386122479
63,0.18724063167728766,0.9768355583131774,0.9233282069858595,0.9901605024424285,0.8649473517375349
64,0.18739511732617878,0.9768160629645207,0.9233108276635384,0.9900140463809639,0.8650286304136678
65,0.18737874095002674,0.976801546285968,0.9232974257563141,0.9897172236503856,0.8652318271040002
66,0.1873273822675527,0.976803788197245,0.9232390655190585,0.9897798815247413,0.8650814615531542
67,0.18730320588115176,0.9769318872657451,0.9236183388842631,0.9900612224975246,0.865532558205692
68,0.18730080138028288,0.9768182576942284,0.9231941143917445,0.9905876545049787,0.8643865288722177
69,0.1872000402954623,0.9768228767931464,0.9231340367330989,0.9909299800049405,0.8640207748296196
70,0.1871825694315986,0.9768234117836996,0.9233948614749405,0.9899198891559767,0.8652480828392267
71,0.18704030649884762,0.9767890309066897,0.923317799265728,0.9898544659878179,0.8651627402292872
72,0.1870327128877277,0.9768066536422655,0.9233652482115666,0.9901977660024843,0.8649839271417947
73,0.18723714681645165,0.977038407556203,0.9237926028643858,0.9893995720843022,0.8663453449670212
74,0.1871204990829151,0.9767911102098971,0.9232894417265188,0.989826520791002,0.8651342926926406
75,0.1872009392118784,0.9768613182946558,0.9232844450131095,0.9898629168759184,0.8650977172883808
76,0.18723658397535964,0.9769755403687067,0.9235286081976847,0.98997731414333,0.865439087728139
77,0.1870124235903928,0.9768187862391927,0.9233120919673813,0.9896764897276192,0.8652887221772931
78,0.18712744802545925,0.9768354723386595,0.9233521714426984,0.989928157913092,0.8651668041630938
79,0.18717670476766607,0.9770258301954299,0.9238332646912188,0.9899332444498126,0.8660080384610696
80,0.18702237277088693,0.9768936538240411,0.9233981746704627,0.9898424062107759,0.8653131057801331
81,0.1869994407603485,0.9768036308965882,0.9232984486205864,0.9898312650241083,0.8651464844940605
82,0.18702085862728965,0.9768734912569488,0.9233395366189057,0.990101358737365,0.8650123746784413
83,0.1869128897115846,0.976922269758625,0.9234213323499425,0.9903267681913988,0.8649839271417947
84,0.1871322794047194,0.9770273161104618,0.9236259412066958,0.9899245268989106,0.8656504122860846
85,0.1871202394211581,0.9768628265927469,0.9233482584474411,0.9903025113889652,0.8648742009290152
86,0.18697898167227378,0.9768348391357488,0.9233226074522815,0.9904940133698303,0.8646831960401029
87,0.18709936201778662,0.976877693838579,0.9233598407387087,0.9899191860951726,0.865187123832127
88,0.18697229770228113,0.9768334292671684,0.9233121848055962,0.9901236520622633,0.8649473517375349
89,0.18707143703546492,0.9770529223402481,0.9238278752305669,0.9898465368608799,0.8660649335343626
90,0.18707432208589203,0.9768452028234766,0.9233301812314019,0.9900372556406715,0.8650448861488944
91,0.18695097620305717,0.9768910898106474,0.9233775811209439,0.9901569034250813,0.8650367582812811
92,0.1870518266948449,0.9769461903074499,0.9235163605369145,0.9902098487526277,0.8652399549716134
93,0.18686192830747386,0.9770635914001407,0.9238207935641032,0.9897188232835682,0.8661502761443022
94,0.1869226301211387,0.9768289394437638,0.9231623082960079,0.9893908202480587,0.86524401890542
95,0.18690490655626804,0.977020228699895,0.9237301912435054,0.9897762005183899,0.8659470794539699
96,0.18701623380184174,0.9769507597625283,0.9235566716326313,0.9901056390418093,0.8653903205224593
97,0.18693590396209572,0.9769513332476292,0.9235485941267281,0.9899275358950642,0.8655122385366587
98,0.18702761488596048,0.9768583743979516,0.9233685151009804,0.9899284857389962,0.8651952516997403
99,0.1869165174482603,0.9770017793219526,0.9236050869218224,0.9902435394839028,0.8653700008534261
100,0.18698614005605244,0.9768775391497974,0.923378603795604,0.9902391365032102,0.8649757992741814
101,0.186910801950623,0.9768087627433077,0.9232437402683021,0.9898119085815257,0.8650652058179277
102,0.18701340928415938,0.976911742509561,0.9234439694530658,0.9901764700410244,0.8651383566264472
103,0.18698333616281462,0.976894329687599,0.9234586215048026,0.9901037064595638,0.8652196353025802
104,0.18689037245862625,0.9768452456949426,0.9233512050387799,0.9900696288785424,0.8650570779503144
105,0.18693917138972496,0.976872895167367,0.9233674770375638,0.9897824945030936,0.8653049779125198
106,0.18688077956541188,0.9768548046378269,0.9233571498270684,0.9898278924025328,0.8652521467730334
107,0.18704790108962868,0.9768324651824621,0.9233855315346965,0.9899516414023993,0.8652074435011603
108,0.18690666045903334,0.9770239693927207,0.9236627151831076,0.9901259820556925,0.8655610057423385
109,0.1868513379129984,0.9768833707374717,0.9234222316677003,0.9899934436596469,0.8652399549716134
110,0.18681269822236163,0.9768831442882151,0.9233404525200837,0.9897363430143914,0.8652927861110998
111,0.18697645450752087,0.9769373225155555,0.9234810638680946,0.9903736100125622,0.8650530140165077
112,0.18697281939760624,0.9768258910848715,0.9233030928550365,0.9897036606624056,0.8652521467730334
113,0.18696077240173378,0.9768521754628505,0.9233926247288503,0.9902713868973122,0.8649757992741814
